Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoketest,Firefox 58.0,,2018-02-19 09:32:58,2018-02-19 09:34:37,"1m - 39,082s",INCOMPLETE
,,,,,,
Test Cases/Landingpage/Verify all Elements,Firefox 58.0,,2018-02-19 09:32:58,2018-02-19 09:33:09,"11,276s",PASSED
openBrowser,Firefox 58.0,,2018-02-19 09:32:58,2018-02-19 09:33:03,"4,802s",PASSED
delay,Firefox 58.0,,2018-02-19 09:33:03,2018-02-19 09:33:08,"5,041s",PASSED
waitForElementPresent,Firefox 58.0,,2018-02-19 09:33:08,2018-02-19 09:33:08,"0,070s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:33:08,2018-02-19 09:33:08,"0,027s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:33:08,2018-02-19 09:33:08,"0,021s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:33:08,2018-02-19 09:33:08,"0,076s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:33:08,2018-02-19 09:33:09,"0,040s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:33:09,2018-02-19 09:33:09,"0,019s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:33:09,2018-02-19 09:33:09,"0,020s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:33:09,2018-02-19 09:33:09,"0,013s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:33:09,2018-02-19 09:33:09,"0,013s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:33:09,2018-02-19 09:33:09,"0,015s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:33:09,2018-02-19 09:33:09,"0,015s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:33:09,2018-02-19 09:33:09,"0,015s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:33:09,2018-02-19 09:33:09,"0,014s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:33:09,2018-02-19 09:33:09,"0,014s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:33:09,2018-02-19 09:33:09,"0,020s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:33:09,2018-02-19 09:33:09,"0,016s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:33:09,2018-02-19 09:33:09,"0,015s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:33:09,2018-02-19 09:33:09,"0,013s",PASSED
