Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoketest,Firefox 58.0,,2018-02-13 16:38:08,2018-02-13 16:38:26,"17,768s",FAILED
,,,,,,
Test Cases/Landingpage/Verify all Elements,Firefox 58.0,,2018-02-13 16:38:09,2018-02-13 16:38:19,"10,312s",PASSED
openBrowser,Firefox 58.0,,2018-02-13 16:38:09,2018-02-13 16:38:17,"7,419s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:38:17,2018-02-13 16:38:17,"0,187s",PASSED
waitForElementPresent,Firefox 58.0,,2018-02-13 16:38:17,2018-02-13 16:38:17,"0,060s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:38:17,2018-02-13 16:38:17,"0,047s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:38:17,2018-02-13 16:38:17,"0,073s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:38:17,2018-02-13 16:38:17,"0,058s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:38:17,2018-02-13 16:38:17,"0,060s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:38:17,2018-02-13 16:38:17,"0,115s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:38:17,2018-02-13 16:38:17,"0,065s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:38:17,2018-02-13 16:38:17,"0,029s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:38:17,2018-02-13 16:38:17,"0,067s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:38:17,2018-02-13 16:38:18,"0,043s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:38:18,2018-02-13 16:38:18,"0,063s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:38:18,2018-02-13 16:38:18,"0,110s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:38:18,2018-02-13 16:38:18,"0,056s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:38:18,2018-02-13 16:38:18,"0,168s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:38:18,2018-02-13 16:38:18,"0,059s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:38:18,2018-02-13 16:38:18,"0,088s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:38:18,2018-02-13 16:38:18,"0,059s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:38:18,2018-02-13 16:38:18,"0,066s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:38:18,2018-02-13 16:38:18,"0,040s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:38:18,2018-02-13 16:38:18,"0,022s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:38:18,2018-02-13 16:38:18,"0,028s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:38:18,2018-02-13 16:38:18,"0,043s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:38:18,2018-02-13 16:38:18,"0,036s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:38:18,2018-02-13 16:38:18,"0,050s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:38:18,2018-02-13 16:38:18,"0,038s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:38:18,2018-02-13 16:38:18,"0,035s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:38:18,2018-02-13 16:38:19,"0,024s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:38:19,2018-02-13 16:38:19,"0,018s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:38:19,2018-02-13 16:38:19,"0,018s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:38:19,2018-02-13 16:38:19,"0,016s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:38:19,2018-02-13 16:38:19,"0,022s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:38:19,2018-02-13 16:38:19,"0,017s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:38:19,2018-02-13 16:38:19,"0,021s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:38:19,2018-02-13 16:38:19,"0,015s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:38:19,2018-02-13 16:38:19,"0,017s",PASSED
closeBrowser,Firefox 58.0,,2018-02-13 16:38:19,2018-02-13 16:38:19,"0,408s",PASSED
,,,,,,
Test Cases/Landingpage/Verify Searchbar,Firefox 58.0,,2018-02-13 16:38:19,2018-02-13 16:38:26,"6,500s",FAILED
openBrowser,Firefox 58.0,,2018-02-13 16:38:19,2018-02-13 16:38:25,"5,706s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:38:25,2018-02-13 16:38:25,"0,046s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:38:25,2018-02-13 16:38:25,"0,054s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:38:25,2018-02-13 16:38:25,"0,038s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:38:25,2018-02-13 16:38:25,"0,174s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:38:25,2018-02-13 16:38:25,"0,028s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:38:25,2018-02-13 16:38:25,"0,032s",PASSED
click,Firefox 58.0,,2018-02-13 16:38:25,2018-02-13 16:38:26,"0,177s",FAILED
