Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoketest,Firefox 58.0,,2018-02-14 12:29:10,2018-02-14 12:30:00,"50,421s",PASSED
,,,,,,
Test Cases/Landingpage/Verify all Elements,Firefox 58.0,,2018-02-14 12:29:10,2018-02-14 12:29:24,"13,794s",PASSED
openBrowser,Firefox 58.0,,2018-02-14 12:29:11,2018-02-14 12:29:18,"7,040s",PASSED
delay,Firefox 58.0,,2018-02-14 12:29:18,2018-02-14 12:29:23,"5,036s",PASSED
waitForElementPresent,Firefox 58.0,,2018-02-14 12:29:23,2018-02-14 12:29:23,"0,073s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 12:29:23,2018-02-14 12:29:23,"0,063s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 12:29:23,2018-02-14 12:29:23,"0,020s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 12:29:23,2018-02-14 12:29:23,"0,023s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 12:29:23,2018-02-14 12:29:23,"0,017s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 12:29:23,2018-02-14 12:29:23,"0,016s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 12:29:23,2018-02-14 12:29:23,"0,014s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 12:29:23,2018-02-14 12:29:23,"0,014s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 12:29:23,2018-02-14 12:29:23,"0,024s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 12:29:23,2018-02-14 12:29:23,"0,031s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 12:29:23,2018-02-14 12:29:23,"0,021s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 12:29:23,2018-02-14 12:29:23,"0,021s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 12:29:23,2018-02-14 12:29:23,"0,013s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 12:29:23,2018-02-14 12:29:23,"0,014s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 12:29:23,2018-02-14 12:29:23,"0,015s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 12:29:23,2018-02-14 12:29:23,"0,016s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 12:29:23,2018-02-14 12:29:23,"0,015s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 12:29:23,2018-02-14 12:29:23,"0,014s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 12:29:23,2018-02-14 12:29:23,"0,015s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 12:29:23,2018-02-14 12:29:23,"0,013s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 12:29:23,2018-02-14 12:29:23,"0,012s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 12:29:23,2018-02-14 12:29:23,"0,012s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 12:29:23,2018-02-14 12:29:23,"0,013s",PASSED
