Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
verifyElementPresent,Chrome 63.0.3239.132,,2018-02-13 17:01:50,2018-02-13 17:01:50,"0,029s",PASSED
verifyElementPresent,Chrome 63.0.3239.132,,2018-02-13 17:01:50,2018-02-13 17:01:50,"0,051s",PASSED
verifyElementPresent,Chrome 63.0.3239.132,,2018-02-13 17:01:50,2018-02-13 17:01:50,"0,044s",PASSED
verifyElementPresent,Chrome 63.0.3239.132,,2018-02-13 17:01:50,2018-02-13 17:01:50,"0,047s",PASSED
verifyElementPresent,Chrome 63.0.3239.132,,2018-02-13 17:01:50,2018-02-13 17:01:50,"0,077s",PASSED
verifyElementPresent,Chrome 63.0.3239.132,,2018-02-13 17:01:50,2018-02-13 17:01:50,"0,030s",PASSED
verifyElementPresent,Chrome 63.0.3239.132,,2018-02-13 17:01:50,2018-02-13 17:01:50,"0,023s",PASSED
verifyElementPresent,Chrome 63.0.3239.132,,2018-02-13 17:01:50,2018-02-13 17:01:50,"0,026s",PASSED
verifyElementPresent,Chrome 63.0.3239.132,,2018-02-13 17:01:50,2018-02-13 17:01:50,"0,027s",PASSED
verifyElementPresent,Chrome 63.0.3239.132,,2018-02-13 17:01:50,2018-02-13 17:01:50,"0,026s",PASSED
verifyElementPresent,Chrome 63.0.3239.132,,2018-02-13 17:01:50,2018-02-13 17:01:50,"0,026s",PASSED
verifyElementPresent,Chrome 63.0.3239.132,,2018-02-13 17:01:50,2018-02-13 17:01:50,"0,028s",PASSED
click,Chrome 63.0.3239.132,,2018-02-13 17:01:50,2018-02-13 17:01:51,"0,089s",PASSED
verifyElementPresent,Chrome 63.0.3239.132,,2018-02-13 17:01:51,2018-02-13 17:01:51,"0,028s",PASSED
click,Chrome 63.0.3239.132,,2018-02-13 17:01:51,2018-02-13 17:01:51,"0,093s",PASSED
verifyElementPresent,Chrome 63.0.3239.132,,2018-02-13 17:01:51,2018-02-13 17:01:51,"0,028s",PASSED
verifyElementPresent,Chrome 63.0.3239.132,,2018-02-13 17:01:51,2018-02-13 17:01:51,"0,022s",PASSED
verifyElementPresent,Chrome 63.0.3239.132,,2018-02-13 17:01:51,2018-02-13 17:01:51,"0,024s",PASSED
verifyElementPresent,Chrome 63.0.3239.132,,2018-02-13 17:01:51,2018-02-13 17:01:51,"0,021s",PASSED
click,Chrome 63.0.3239.132,,2018-02-13 17:01:51,2018-02-13 17:01:52,"0,730s",FAILED
