Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoketest,Firefox 58.0,,2018-02-13 16:39:23,2018-02-13 16:39:38,"15,649s",FAILED
,,,,,,
Test Cases/Landingpage/Verify all Elements,Firefox 58.0,,2018-02-13 16:39:23,2018-02-13 16:39:32,"8,777s",PASSED
openBrowser,Firefox 58.0,,2018-02-13 16:39:24,2018-02-13 16:39:30,"6,024s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:39:30,2018-02-13 16:39:30,"0,059s",PASSED
waitForElementPresent,Firefox 58.0,,2018-02-13 16:39:30,2018-02-13 16:39:30,"0,151s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:39:30,2018-02-13 16:39:30,"0,090s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:39:30,2018-02-13 16:39:30,"0,036s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:39:30,2018-02-13 16:39:30,"0,034s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:39:30,2018-02-13 16:39:30,"0,033s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:39:30,2018-02-13 16:39:30,"0,053s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:39:30,2018-02-13 16:39:30,"0,052s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:39:30,2018-02-13 16:39:31,"0,217s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:39:31,2018-02-13 16:39:31,"0,048s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:39:31,2018-02-13 16:39:31,"0,035s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:39:31,2018-02-13 16:39:31,"0,034s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:39:31,2018-02-13 16:39:31,"0,029s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:39:31,2018-02-13 16:39:31,"0,018s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:39:31,2018-02-13 16:39:31,"0,025s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:39:31,2018-02-13 16:39:31,"0,091s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:39:31,2018-02-13 16:39:31,"0,050s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:39:31,2018-02-13 16:39:31,"0,081s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:39:31,2018-02-13 16:39:31,"0,028s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:39:31,2018-02-13 16:39:31,"0,049s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:39:31,2018-02-13 16:39:31,"0,020s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:39:31,2018-02-13 16:39:31,"0,032s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:39:31,2018-02-13 16:39:31,"0,106s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:39:31,2018-02-13 16:39:31,"0,014s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:39:31,2018-02-13 16:39:31,"0,013s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:39:31,2018-02-13 16:39:31,"0,055s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:39:31,2018-02-13 16:39:31,"0,128s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:39:31,2018-02-13 16:39:31,"0,026s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:39:31,2018-02-13 16:39:31,"0,025s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:39:31,2018-02-13 16:39:31,"0,015s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:39:31,2018-02-13 16:39:31,"0,016s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:39:31,2018-02-13 16:39:32,"0,020s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:39:32,2018-02-13 16:39:32,"0,016s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:39:32,2018-02-13 16:39:32,"0,029s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:39:32,2018-02-13 16:39:32,"0,021s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:39:32,2018-02-13 16:39:32,"0,020s",PASSED
closeBrowser,Firefox 58.0,,2018-02-13 16:39:32,2018-02-13 16:39:32,"0,368s",PASSED
,,,,,,
Test Cases/Landingpage/Verify Searchbar,Firefox 58.0,,2018-02-13 16:39:32,2018-02-13 16:39:38,"5,872s",FAILED
openBrowser,Firefox 58.0,,2018-02-13 16:39:32,2018-02-13 16:39:37,"5,218s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:39:37,2018-02-13 16:39:38,"0,038s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:39:38,2018-02-13 16:39:38,"0,016s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:39:38,2018-02-13 16:39:38,"0,034s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:39:38,2018-02-13 16:39:38,"0,014s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:39:38,2018-02-13 16:39:38,"0,014s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-13 16:39:38,2018-02-13 16:39:38,"0,025s",PASSED
click,Firefox 58.0,,2018-02-13 16:39:38,2018-02-13 16:39:38,"0,215s",FAILED
