Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoketest,Firefox 58.0,,2018-02-19 09:36:58,2018-02-19 09:38:26,"1m - 28,282s",PASSED
,,,,,,
Test Cases/Landingpage/Verify all Elements,Firefox 58.0,,2018-02-19 09:36:58,2018-02-19 09:37:09,"10,941s",PASSED
openBrowser,Firefox 58.0,,2018-02-19 09:36:59,2018-02-19 09:37:03,"4,590s",PASSED
delay,Firefox 58.0,,2018-02-19 09:37:03,2018-02-19 09:37:08,"5,041s",PASSED
waitForElementPresent,Firefox 58.0,,2018-02-19 09:37:08,2018-02-19 09:37:08,"0,055s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:37:08,2018-02-19 09:37:09,"0,034s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:37:09,2018-02-19 09:37:09,"0,025s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:37:09,2018-02-19 09:37:09,"0,016s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:37:09,2018-02-19 09:37:09,"0,014s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:37:09,2018-02-19 09:37:09,"0,013s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:37:09,2018-02-19 09:37:09,"0,016s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:37:09,2018-02-19 09:37:09,"0,013s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:37:09,2018-02-19 09:37:09,"0,015s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:37:09,2018-02-19 09:37:09,"0,020s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:37:09,2018-02-19 09:37:09,"0,015s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:37:09,2018-02-19 09:37:09,"0,014s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:37:09,2018-02-19 09:37:09,"0,056s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:37:09,2018-02-19 09:37:09,"0,031s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:37:09,2018-02-19 09:37:09,"0,015s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:37:09,2018-02-19 09:37:09,"0,014s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:37:09,2018-02-19 09:37:09,"0,032s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:37:09,2018-02-19 09:37:09,"0,018s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:37:09,2018-02-19 09:37:09,"0,013s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:37:09,2018-02-19 09:37:09,"0,011s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:37:09,2018-02-19 09:37:09,"0,022s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:37:09,2018-02-19 09:37:09,"0,019s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:37:09,2018-02-19 09:37:09,"0,016s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:37:09,2018-02-19 09:37:09,"0,011s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:37:09,2018-02-19 09:37:09,"0,010s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:37:09,2018-02-19 09:37:09,"0,020s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:37:09,2018-02-19 09:37:09,"0,029s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:37:09,2018-02-19 09:37:09,"0,014s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:37:09,2018-02-19 09:37:09,"0,013s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:37:09,2018-02-19 09:37:09,"0,014s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:37:09,2018-02-19 09:37:09,"0,018s",PASSED
