Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoketest,Firefox 58.0,,2018-02-19 09:12:59,2018-02-19 09:15:33,"2m - 34,079s",FAILED
,,,,,,
Test Cases/Landingpage/Verify all Elements,Firefox 58.0,,2018-02-19 09:12:59,2018-02-19 09:13:12,"13,054s",PASSED
openBrowser,Firefox 58.0,,2018-02-19 09:13:00,2018-02-19 09:13:06,"6,566s",PASSED
delay,Firefox 58.0,,2018-02-19 09:13:06,2018-02-19 09:13:11,"5,042s",PASSED
waitForElementPresent,Firefox 58.0,,2018-02-19 09:13:11,2018-02-19 09:13:11,"0,105s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:11,2018-02-19 09:13:12,"0,051s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:12,2018-02-19 09:13:12,"0,025s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:12,2018-02-19 09:13:12,"0,020s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:12,2018-02-19 09:13:12,"0,022s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:12,2018-02-19 09:13:12,"0,021s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:12,2018-02-19 09:13:12,"0,021s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:12,2018-02-19 09:13:12,"0,029s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:12,2018-02-19 09:13:12,"0,021s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:12,2018-02-19 09:13:12,"0,029s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:12,2018-02-19 09:13:12,"0,037s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:12,2018-02-19 09:13:12,"0,018s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:12,2018-02-19 09:13:12,"0,018s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:12,2018-02-19 09:13:12,"0,023s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:12,2018-02-19 09:13:12,"0,027s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:12,2018-02-19 09:13:12,"0,023s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:12,2018-02-19 09:13:12,"0,017s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:12,2018-02-19 09:13:12,"0,016s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:12,2018-02-19 09:13:12,"0,015s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:12,2018-02-19 09:13:12,"0,018s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:12,2018-02-19 09:13:12,"0,019s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:12,2018-02-19 09:13:12,"0,014s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:12,2018-02-19 09:13:12,"0,016s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:12,2018-02-19 09:13:12,"0,035s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:12,2018-02-19 09:13:12,"0,025s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:12,2018-02-19 09:13:12,"0,024s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:12,2018-02-19 09:13:12,"0,024s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:12,2018-02-19 09:13:12,"0,020s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:12,2018-02-19 09:13:12,"0,017s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:12,2018-02-19 09:13:12,"0,013s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:12,2018-02-19 09:13:12,"0,021s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:12,2018-02-19 09:13:12,"0,017s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:12,2018-02-19 09:13:12,"0,018s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:12,2018-02-19 09:13:12,"0,015s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:12,2018-02-19 09:13:12,"0,014s",PASSED
closeBrowser,Firefox 58.0,,2018-02-19 09:13:12,2018-02-19 09:13:12,"0,269s",PASSED
,,,,,,
Test Cases/Landingpage/Verify Searchbar,Firefox 58.0,,2018-02-19 09:13:12,2018-02-19 09:13:24,"11,809s",PASSED
openBrowser,Firefox 58.0,,2018-02-19 09:13:13,2018-02-19 09:13:17,"4,359s",PASSED
delay,Firefox 58.0,,2018-02-19 09:13:17,2018-02-19 09:13:22,"5,002s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:22,2018-02-19 09:13:22,"0,023s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:22,2018-02-19 09:13:22,"0,024s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:22,2018-02-19 09:13:22,"0,017s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:22,2018-02-19 09:13:22,"0,020s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:22,2018-02-19 09:13:22,"0,021s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:22,2018-02-19 09:13:22,"0,018s",PASSED
click,Firefox 58.0,,2018-02-19 09:13:22,2018-02-19 09:13:23,"0,264s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:23,2018-02-19 09:13:23,"0,020s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:23,2018-02-19 09:13:23,"0,020s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:23,2018-02-19 09:13:23,"0,024s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:23,2018-02-19 09:13:23,"0,031s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:23,2018-02-19 09:13:23,"0,027s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:23,2018-02-19 09:13:23,"0,023s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:23,2018-02-19 09:13:23,"0,031s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:23,2018-02-19 09:13:23,"0,037s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:23,2018-02-19 09:13:23,"0,034s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:23,2018-02-19 09:13:23,"0,028s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:23,2018-02-19 09:13:23,"0,022s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:23,2018-02-19 09:13:23,"0,022s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:23,2018-02-19 09:13:23,"0,019s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:23,2018-02-19 09:13:23,"0,036s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:23,2018-02-19 09:13:23,"0,020s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:23,2018-02-19 09:13:23,"0,015s",PASSED
click,Firefox 58.0,,2018-02-19 09:13:23,2018-02-19 09:13:23,"0,252s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-19 09:13:23,2018-02-19 09:13:23,"0,021s",PASSED
click,Firefox 58.0,,2018-02-19 09:13:23,2018-02-19 09:13:24,"0,258s",PASSED
