Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoketest,Firefox 58.0,,2018-02-14 09:49:30,2018-02-14 09:49:56,"26,801s",PASSED
,,,,,,
Test Cases/Landingpage/Verify all Elements,Firefox 58.0,,2018-02-14 09:49:30,2018-02-14 09:49:44,"13,468s",PASSED
openBrowser,Firefox 58.0,,2018-02-14 09:49:31,2018-02-14 09:49:37,"6,812s",PASSED
delay,Firefox 58.0,,2018-02-14 09:49:37,2018-02-14 09:49:43,"5,033s",PASSED
waitForElementPresent,Firefox 58.0,,2018-02-14 09:49:43,2018-02-14 09:49:43,"0,054s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 09:49:43,2018-02-14 09:49:43,"0,044s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 09:49:43,2018-02-14 09:49:43,"0,016s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 09:49:43,2018-02-14 09:49:43,"0,016s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 09:49:43,2018-02-14 09:49:43,"0,015s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 09:49:43,2018-02-14 09:49:43,"0,016s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 09:49:43,2018-02-14 09:49:43,"0,022s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 09:49:43,2018-02-14 09:49:43,"0,013s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 09:49:43,2018-02-14 09:49:43,"0,013s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 09:49:43,2018-02-14 09:49:43,"0,017s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 09:49:43,2018-02-14 09:49:43,"0,020s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 09:49:43,2018-02-14 09:49:43,"0,014s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 09:49:43,2018-02-14 09:49:43,"0,013s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 09:49:43,2018-02-14 09:49:43,"0,013s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 09:49:43,2018-02-14 09:49:43,"0,014s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 09:49:43,2018-02-14 09:49:43,"0,013s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 09:49:43,2018-02-14 09:49:43,"0,015s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 09:49:43,2018-02-14 09:49:43,"0,014s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 09:49:43,2018-02-14 09:49:43,"0,013s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 09:49:43,2018-02-14 09:49:43,"0,013s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 09:49:43,2018-02-14 09:49:43,"0,027s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 09:49:43,2018-02-14 09:49:43,"0,012s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 09:49:43,2018-02-14 09:49:43,"0,013s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 09:49:43,2018-02-14 09:49:43,"0,032s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 09:49:43,2018-02-14 09:49:43,"0,011s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 09:49:43,2018-02-14 09:49:43,"0,012s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 09:49:43,2018-02-14 09:49:43,"0,013s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 09:49:43,2018-02-14 09:49:43,"0,141s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 09:49:43,2018-02-14 09:49:43,"0,010s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 09:49:43,2018-02-14 09:49:43,"0,010s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 09:49:43,2018-02-14 09:49:43,"0,011s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 09:49:43,2018-02-14 09:49:43,"0,048s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 09:49:43,2018-02-14 09:49:43,"0,011s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 09:49:43,2018-02-14 09:49:43,"0,011s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 09:49:43,2018-02-14 09:49:43,"0,007s",PASSED
closeBrowser,Firefox 58.0,,2018-02-14 09:49:43,2018-02-14 09:49:44,"0,382s",PASSED
,,,,,,
Test Cases/Landingpage/Verify Searchbar,Firefox 58.0,,2018-02-14 09:49:44,2018-02-14 09:49:56,"12,742s",PASSED
openBrowser,Firefox 58.0,,2018-02-14 09:49:44,2018-02-14 09:49:50,"5,535s",PASSED
delay,Firefox 58.0,,2018-02-14 09:49:50,2018-02-14 09:49:55,"5,003s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 09:49:55,2018-02-14 09:49:55,"0,007s",PASSED
verifyElementPresent,Firefox 58.0,,2018-02-14 09:49:55,2018-02-14 09:49:55,"0,016s",PASSED
